trial_id,started_at,drift_multiplier,ion_temperature_ratio,ion_mass_over_proton_mass,candidate_drift,candidate_ion_temperature_ratio,candidate_ion_mass_over_proton_mass,tail_mean_E,tail_max_E,final_E,time_of_peak_E,optimizer_score,optimizer_objective,wall_time_seconds,seed,failed,failure_reason
trial_0000,2026-04-07T17:21:34+00:00,1.0,0.01,1.0,60000000.0,0.01,1.0,1.0683346467984856,1.8199365257364124,0.9834904933515562,6.275306062379145e-10,0.02870731307930838,-0.02870731307930838,119.76394020812586,1701,False,
trial_0001,2026-04-07T17:24:07+00:00,1.3016603717751092,10.799419174617027,0.24207963622698556,78099622.30650654,10.799419174617027,0.24207963622698556,0.8807392859812143,2.110142899951199,0.3064988406176281,3.402877290604321e-10,-0.05515263122084895,0.05515263122084895,138.60593045921996,1702,False,
trial_0002,2026-04-07T18:16:49+00:00,1.3016603717751092,10.799419174617027,0.24207963622698556,78099622.30650654,10.799419174617027,0.24207963622698556,0.9054070551941399,1.7067691165109646,0.8201313299167569,3.2127165008352557e-10,-0.04315612567912994,0.04315612567912994,102.23461604164913,1703,False,
trial_0003,2026-04-07T19:37:43+00:00,1.3016603717751092,10.799419174617027,0.24207963622698556,78099622.30650654,10.799419174617027,0.24207963622698556,0.9029192688295472,2.012016331746487,0.879616848284722,3.532987304656839e-10,-0.04435107877755465,0.04435107877755465,105.66831754194573,1704,False,
trial_0004,2026-04-07T21:09:37+00:00,0.3173856214713636,0.01175832831666868,3.5171036698495373,19043137.288281817,0.01175832831666868,3.5171036698495373,0.015149151568522756,0.023967528423814513,0.018208065132457256,4.438753171714754e-10,-1.8196116892360488,1.8196116892360488,118.0614207079634,1705,False,
trial_0005,2026-04-07T22:04:15+00:00,0.9769040531783101,0.6340485140430806,0.948801526190903,58614243.1906986,0.6340485140430806,0.948801526190903,1.2548750741969148,1.835842787224188,1.6990601592983274,1.4031864592433112e-09,0.09860049291871088,-0.09860049291871088,99.86103150015697,1706,False,
trial_0006,2026-04-07T23:05:35+00:00,0.7969871905272337,100.0,0.5685356189072656,47819231.43163402,100.0,0.5685356189072656,0.7915078610711987,1.0471217656568568,0.7039627950247211,3.0375684049953275e-10,-0.10154476746885234,0.10154476746885234,160.54640883300453,1707,False,
trial_0007,2026-04-07T23:59:38+00:00,2.297878125126987,10.887498827409154,0.08316878574165705,137872687.5076192,10.887498827409154,0.08316878574165705,0.008462894756845593,0.017497340221510935,0.007060447232773022,2.764837798616011e-09,-2.0724810599054764,2.0724810599054764,121.77685249969363,1708,False,
trial_0008,2026-04-08T03:39:03+00:00,1.0531740335273176,100.0,0.01,63190442.01163906,100.0,0.01,0.2062695048665176,0.31396066299017866,0.20361803282459265,2.8373991526068383e-10,-0.6855649739034496,0.6855649739034496,129.70634275022894,1709,False,
trial_0009,2026-04-08T06:03:32+00:00,1.5261328533464176,22.637615194683708,4.0,91567971.20078506,22.637615194683708,4.0,3.9213970836830763,5.490530172128355,3.5964887015490987,3.928321578124106e-10,0.5934408215200093,-0.5934408215200093,106.8734507909976,1710,False,
